temperature,blood_pressure,heart_rate,breathing_rate,vertical_speed,horizontal_speed
37.7,96.0,105.7,5.3,0.2,0.4
36.4,81.0,95.9,0.9,2.0,0.4
37.0,80.0,119.0,14.9,0.6,0.5
37.2,121.0,119.5,1.0,2.3,0.4
37.1,88.0,104.1,8.6,0.5,0.2
36.2,105.0,103.8,0.4,2.1,0.9
37.7,110.0,112.3,2.5,1.8,0.8
36.9,94.0,94.9,12.7,0.1,0.4
36.2,110.0,101.2,1.9,0.8,0.2
36.4,96.0,108.7,2.8,2.2,0.5
36.9,83.0,94.9,2.3,2.3,0.5
36.9,82.0,103.4,10.9,0.6,0.5
36.6,127.0,109.8,1.2,1.2,0.2
37.4,118.0,108.1,0.3,1.8,0.4
36.6,125.0,104.9,13.5,0.1,0.9
37.7,132.0,104.5,8.2,0.0,0.3
37.3,81.0,91.0,7.3,0.0,0.5
36.5,106.0,100.1,2.8,0.3,0.9
36.7,136.0,100.8,11.3,1.3,0.9
36.3,109.0,116.4,2.5,0.0,0.9
37.0,103.0,117.0,4.7,1.2,0.6
36.7,111.0,103.4,1.9,1.3,0.9
37.7,84.0,98.3,6.1,1.3,0.3
37.0,104.0,114.6,12.3,0.6,0.5
37.0,122.0,95.9,3.8,2.2,0.7
36.5,129.0,91.9,7.6,0.2,0.8
37.0,122.0,120.7,4.2,0.4,0.4
36.2,100.0,91.9,2.3,0.6,0.7
36.5,124.0,106.9,7.6,0.5,0.3
37.4,92.0,110.2,2.5,2.4,0.9
37.5,108.0,97.0,2.5,0.3,0.8
37.8,87.0,113.9,0.2,1.8,0.5
37.0,132.0,109.3,6.6,1.0,0.7
36.3,124.0,119.4,9.2,0.3,0.3
36.8,110.0,106.2,0.6,1.1,0.7
36.5,124.0,95.2,7.5,0.5,0.6
37.7,100.0,111.6,6.7,2.4,0.9
36.2,99.0,98.8,5.7,0.0,0.8
36.3,108.0,96.4,4.2,0.7,0.4
37.7,132.0,97.1,1.1,0.7,0.5
36.1,100.0,92.3,1.8,2.1,0.6
36.4,88.0,104.5,3.5,1.9,0.5
36.2,116.0,117.7,11.5,0.0,0.2
37.2,139.0,102.4,2.0,0.7,0.3
36.2,116.0,111.5,12.1,0.1,0.6
36.6,126.0,112.1,4.7,1.7,0.5
37.0,90.0,119.4,5.3,0.6,0.7
37.8,124.0,97.9,8.6,0.6,0.5
37.6,125.0,93.9,4.3,0.5,0.9
35.9,82.0,107.1,1.1,1.6,0.4
36.9,101.0,119.4,0.7,0.8,0.4
37.4,109.0,92.9,0.5,0.9,0.2
36.6,119.0,109.2,0.3,0.1,0.4
36.7,83.0,91.4,9.6,0.4,0.2
35.9,80.0,112.8,2.4,1.7,0.7
37.3,132.0,110.7,13.7,0.5,0.5
37.4,105.0,103.5,11.3,1.1,0.9
36.1,92.0,107.6,7.2,0.2,0.3
36.4,121.0,113.0,4.1,0.6,0.5
37.7,122.0,102.3,3.8,1.6,0.6
36.8,120.0,119.5,0.8,1.7,0.3
37.7,100.0,114.5,12.6,0.3,0.5
36.7,128.0,108.7,5.7,0.1,0.6
36.9,89.0,115.2,6.1,0.6,0.8
36.7,104.0,115.7,9.8,0.8,0.9
37.1,140.0,118.5,0.1,1.2,0.8
36.4,83.0,93.5,14.0,0.7,0.9
37.1,80.0,99.3,8.5,1.2,0.4
37.0,102.0,104.6,4.4,1.2,0.6
36.5,119.0,117.6,13.8,0.3,0.6
37.5,113.0,101.6,7.4,0.0,0.7
37.1,114.0,103.6,4.0,1.7,0.8
37.1,130.0,102.6,4.9,1.6,0.6
36.2,100.0,98.7,9.2,0.4,0.5
36.8,97.0,110.2,8.9,0.9,0.6
36.5,81.0,95.2,7.8,2.2,0.9
37.8,108.0,117.4,7.5,2.0,0.7
36.3,104.0,96.4,14.6,0.2,0.7
36.0,91.0,112.2,8.2,0.3,0.5
